epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,2129.62,1.25047,1.49517,1.14289,0.36084,0.16378,0.13294,0.08673,1.3089,2.63955,1.15496,0.002476,0.002476,0.002476
78,2157.29,1.24827,1.46888,1.14186,0.40693,0.14419,0.13545,0.09178,1.33845,2.66199,1.1702,0.002377,0.002377,0.002377
79,2186.65,1.24055,1.41826,1.12879,0.36154,0.17002,0.13838,0.09639,1.26506,2.63276,1.15112,0.002278,0.002278,0.002278
80,2214.16,1.24975,1.45806,1.15626,0.33578,0.16067,0.13431,0.09174,1.25895,2.69801,1.14093,0.002179,0.002179,0.002179
81,2240.99,1.25184,1.44362,1.13611,0.4316,0.13571,0.13393,0.09228,1.26974,2.69239,1.15921,0.00208,0.00208,0.00208
82,2265.03,1.2339,1.41288,1.14492,0.43062,0.12834,0.13543,0.09233,1.30349,2.70714,1.16387,0.001981,0.001981,0.001981
83,2293.91,1.23589,1.41243,1.14218,0.3492,0.14769,0.12779,0.08437,1.29492,2.6913,1.15482,0.001882,0.001882,0.001882
84,2321.32,1.19742,1.36556,1.13481,0.36628,0.14555,0.1317,0.09036,1.23008,2.68451,1.13025,0.001783,0.001783,0.001783
85,2351.27,1.21747,1.36537,1.12619,0.26529,0.17657,0.12841,0.08884,1.25122,2.65161,1.13757,0.001684,0.001684,0.001684
86,2377.71,1.2358,1.42098,1.14214,0.2553,0.1988,0.14526,0.10285,1.274,2.61644,1.14626,0.001585,0.001585,0.001585
87,2406.16,1.18966,1.33776,1.12511,0.28716,0.17209,0.15132,0.10587,1.29701,2.63452,1.14441,0.001486,0.001486,0.001486
88,2435.08,1.21261,1.34745,1.12848,0.39513,0.14261,0.13198,0.09113,1.30119,2.7163,1.15517,0.001387,0.001387,0.001387
89,2462.04,1.21178,1.30195,1.13412,0.37968,0.15291,0.13858,0.09499,1.29474,2.69603,1.16363,0.001288,0.001288,0.001288
90,2489.7,1.1834,1.30574,1.11865,0.3797,0.16118,0.14011,0.09798,1.24963,2.67345,1.15117,0.001189,0.001189,0.001189
91,2522.7,1.09069,1.08928,1.07783,0.2956,0.18663,0.15173,0.11104,1.25041,2.68783,1.15321,0.00109,0.00109,0.00109
92,2548.22,1.0753,1.04066,1.07666,0.51272,0.12977,0.13419,0.09424,1.25429,2.73528,1.15373,0.000991,0.000991,0.000991
93,2574.49,1.05426,0.95843,1.06737,0.4706,0.14528,0.15075,0.11041,1.25339,2.685,1.14893,0.000892,0.000892,0.000892
94,2601.21,1.06344,0.96055,1.06046,0.32635,0.17559,0.13832,0.09962,1.25924,2.67588,1.15449,0.000793,0.000793,0.000793
95,2623.86,1.04542,0.91903,1.05855,0.3698,0.16912,0.13986,0.10121,1.2345,2.74069,1.13646,0.000694,0.000694,0.000694
96,2650.44,1.04396,0.91345,1.05208,0.40795,0.17269,0.14431,0.10502,1.24478,2.70676,1.14699,0.000595,0.000595,0.000595
97,2676.59,1.03786,0.91631,1.05359,0.37163,0.18184,0.14766,0.10756,1.25208,2.73253,1.15013,0.000496,0.000496,0.000496
98,2702.26,1.05007,0.90793,1.05775,0.37719,0.16125,0.1444,0.10523,1.24679,2.72914,1.14821,0.000397,0.000397,0.000397
99,2726.38,1.02249,0.87342,1.04267,0.33952,0.177,0.14651,0.1069,1.24105,2.70833,1.14918,0.000298,0.000298,0.000298
100,2752.5,0.99852,0.86356,1.03389,0.40634,0.1619,0.14579,0.10579,1.23264,2.72807,1.14492,0.000199,0.000199,0.000199
